id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,company
0,Royal Enfield Classic 350,175000.0,2019,individual,1st ,350,0.0,Royal Enfield
1,Honda Dio,45000.0,2017,individual,1st ,5650,0.0,Honda
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,individual,1st ,12000,148114.0,Royal Enfield
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,individual,1st ,23000,89643.0,Yamaha
4,Yamaha SZ [2013-2014],20000.0,2011,individual,2nd ,21000,0.0,Yamaha
5,Honda CB Twister,18000.0,2010,individual,1st ,60000,53857.0,Honda
6,Honda CB Hornet 160R,78500.0,2018,individual,1st ,17000,87719.0,Honda
7,Royal Enfield Bullet 350 [2007-2011],180000.0,2008,individual,2nd ,39000,0.0,Royal Enfield
9,Bajaj Discover 125,50000.0,2016,individual,1st ,42000,60122.0,Bajaj
10,Yamaha FZ16,35000.0,2015,individual,1st ,32000,78712.0,Yamaha
11,Honda Navi,28000.0,2016,individual,2nd ,10000,47255.0,Honda
12,Bajaj Avenger Street 220,80000.0,2018,individual,1st ,21178,95955.0,Bajaj
13,Yamaha YZF R3,365000.0,2019,individual,1st ,1127,351680.0,Yamaha
14,Jawa 42,185000.0,2020,individual,1st ,1700,0.0,Jawa
15,Suzuki Access 125 [2007-2016],25000.0,2012,individual,1st ,55000,58314.0,Suzuki
17,Yamaha YZF R15 S,40000.0,2010,individual,2nd ,45000,117926.0,Yamaha
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,individual,1st ,23000,148114.0,Royal Enfield
19,Yamaha FZ25,120000.0,2018,individual,1st ,39000,132680.0,Yamaha
20,Hero Passion Pro 110,15000.0,2008,individual,1st ,60000,0.0,Hero
21,Honda Navi [2016-2017],26000.0,2016,individual,1st ,17450,44389.0,Honda
22,Honda Activa i,32000.0,2013,individual,2nd ,20696,53900.0,Activa
23,Jawa Standard,180000.0,2019,individual,1st ,2000,0.0,Jawa
24,Royal Enfield Thunderbird 350,110000.0,2016,individual,1st ,20000,0.0,Royal Enfield
25,Honda Dream Yuga,25000.0,2012,individual,1st ,35000,56147.0,Honda
26,TVS Apache RTR 160 4V,80000.0,2018,individual,1st ,15210,0.0,TVS
27,Honda Navi [2016-2017],42000.0,2017,individual,1st ,24000,44389.0,Honda
28,Yamaha Fazer [2009-2016],40000.0,2013,individual,3rd ,35000,84751.0,Yamaha
30,Hero Glamour 125,55000.0,2017,individual,1st ,2500,61600.0,Hero
31,Yamaha FZ S [2012-2016],38000.0,2013,individual,1st ,75000,79432.0,Yamaha
32,Hero Xtreme Sports,43000.0,2016,individual,2nd ,50000,78350.0,Hero
33,Honda X-Blade,65000.0,2018,individual,1st ,27000,0.0,Honda
34,Honda CB Shine SP,62000.0,2019,individual,1st ,10000,71049.0,Honda
35,Honda Activa 5G,60000.0,2018,individual,1st ,6502,57557.0,Activa
36,Hero Glamour 125,45000.0,2018,individual,1st ,21000,61600.0,Hero
37,Honda CBR-250R,120000.0,2016,individual,1st ,16000,202310.0,Honda
39,Royal Enfield Thunderbird 350,90000.0,2015,individual,3rd ,13000,0.0,Royal Enfield
40,Bajaj Dominar 400,125000.0,2017,individual,1st ,12800,0.0,Bajaj
41,Hero Glamour FI,50000.0,2018,individual,1st ,20000,71150.0,Hero
42,KTM 390 Duke,175000.0,2017,individual,1st ,4600,0.0,KTM
43,Hero Passion XPro,28000.0,2012,individual,1st ,81000,56750.0,Hero
44,Yamaha FZ S V 2.0,85000.0,2018,individual,1st ,8000,84042.0,Yamaha
45,Hero Achiever 150,29900.0,2016,individual,1st ,55000,69750.0,Hero
46,Bajaj Discover 125,25000.0,2011,individual,1st ,57000,60122.0,Bajaj
47,Yamaha FZ16,30000.0,2009,individual,2nd ,26000,78712.0,Yamaha
48,Yamaha Saluto,60000.0,2018,individual,1st ,13000,59844.0,Yamaha
49,Yamaha FZ16,35000.0,2012,individual,2nd ,29000,78712.0,Yamaha
50,Bajaj Discover 100,25000.0,2010,individual,1st ,43000,42859.0,Bajaj
51,Honda CB Trigger,30000.0,2015,individual,1st ,40000,73413.0,Honda
52,Royal Enfield Electra 5 S,90000.0,2010,individual,2nd ,40000,0.0,Royal Enfield
53,Hero Splendor PRO,35000.0,2015,individual,2nd ,24000,49900.0,Hero
54,Honda Activa 5G,70000.0,2019,individual,1st ,3000,59422.0,Activa
56,Bajaj Pulsar 150,25000.0,2010,individual,1st ,42000,0.0,Bajaj
57,Royal Enfield Bullet 350,90000.0,2014,individual,1st ,13000,0.0,Royal Enfield
58,Bajaj Discover 125,25000.0,2013,individual,1st ,55000,57549.0,Bajaj
59,Bajaj Pulsar 150 [2001-2011],42000.0,2011,individual,1st ,23000,0.0,Bajaj
60,Hero Splendor PRO,35000.0,2015,individual,2nd ,24000,51994.0,Hero
61,Hero Xtreme Sports,50000.0,2014,individual,1st ,80000,80350.0,Hero
62,Honda Activa 3G,30000.0,2015,individual,1st ,39000,54605.0,Activa
63,Yamaha FZ16,48000.0,2016,individual,1st ,20000,78712.0,Yamaha
64,Honda CB Hornet 160R,65000.0,2016,individual,1st ,30000,88161.0,Honda
65,Royal Enfield Thunderbird 350,85000.0,2013,individual,1st ,21000,0.0,Royal Enfield
66,Hero Hunk,45000.0,2014,individual,1st ,41000,78513.0,Hero
67,Suzuki Let''s,34000.0,2014,individual,1st ,8000,50098.0,Suzuki
68,Royal Enfield Electra 4 S,90000.0,2008,individual,1st ,50000,0.0,Royal Enfield
69,TVS Scooty Pep Plus,35000.0,2012,individual,1st ,8150,0.0,TVS
70,Mahindra Mojo XT300,165000.0,2017,individual,1st ,1933,195500.0,Mahindra
