id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,km_class
0,Royal Enfield Classic 350,175000.0,2019,Individual,1st owner,350,,1
1,Honda Dio,45000.0,2017,Individual,1st owner,5650,,2
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,3
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,5
4,Yamaha SZ [2013-2014],20000.0,2011,Individual,2nd owner,21000,,5
5,Honda CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,12
6,Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,4
7,Royal Enfield Bullet 350 [2007-2011],180000.0,2008,Individual,2nd owner,39000,,8
8,Hero Honda CBZ extreme,30000.0,2010,Individual,1st owner,32000,,7
9,Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,9
10,Yamaha FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,7
11,Honda Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,2
12,Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,5
13,Yamaha YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,1
14,Jawa 42,185000.0,2020,Individual,1st owner,1700,,1
15,Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,11
16,Hero Honda Glamour,25000.0,2006,Individual,1st owner,27000,,6
17,Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,9
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,5
19,Yamaha FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,8
20,Hero Passion Pro 110,15000.0,2008,Individual,1st owner,60000,,12
21,Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,4
22,Honda Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,5
23,Jawa Standard,180000.0,2019,Individual,1st owner,2000,,1
24,Royal Enfield Thunderbird 350,110000.0,2016,Individual,1st owner,20000,,4
25,Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,7
