name,selling_price,km_driven,year
 G310GS,300000.0,2500,2018
 Ninja 300,300000.0,9800,2016
 Ninja 650 ,300000.0,12000,2011
 CBR-250R,200000.0,5500,2019
Thunderbird 500X,185000.0,1500,2018
Thunder 500,175000.0,3000,2018
 Renegade Mojave,170000.0,1400,2019
 Mojo XT300,165000.0,1933,2017
 RC200,165000.0,4000,2019
 TNT 25,160000.0,2009,2017
 Renegade Commando,160000.0,7000,2018
Classic Stealth Black,160000.0,7500,2018
Classic Desert Storm,150000.0,16500,2017
 Dominar 400 ,150000.0,5475,2018
Classic Desert Storm,150000.0,23000,2015
Thunderbird 350X,145000.0,2700,2019
 Dominar 400,145000.0,1200,2019
Classic Squadron Blu,140000.0,25000,2017
Classic Gunmetal Gr,140000.0,22000,2018
Classic Gunmetal Gr,140000.0,14000,2018
Classic 350,135000.0,4100,2019
 RC390,135000.0,21700,2017
Classic Gunmetal Gr,135000.0,6100,2018
 FZ25,130000.0,4000,2017
Bullet 500,130000.0,34601,2015
Thunderbird 500,125000.0,25000,2014
Thunder 350,125000.0,15000,2015
 FZ25,120000.0,9000,2017
 Fazer 25,120000.0,6000,2018
 FZ25,120000.0,39000,2018
 RC200,120000.0,6000,2018
Classic 350,120000.0,11000,2019
Thunder 350,120000.0,18000,2018
 CBR-250R,120000.0,16000,2016
 Fazer 25,115000.0,11000,2018
Classic 350,115000.0,17000,2017
 Mojo XT300,115000.0,35000,2018
 390 Duke,115000.0,7000,2016
Thunder 350,115000.0,8700,2018
Classic 350,111000.0,17500,2017
 CBR150 R,110000.0,11800,2017
Continental GT ,110000.0,12077,2014
 FZ25,110000.0,10000,2019
Classic 350,110000.0,33000,2015
Classic 350,110000.0,26000,2017
Thunder 500,110000.0,14000,2017
Bullet 350,105000.0,6000,2018
Thunder 350,105000.0,6900,2013
 Pulsar RS200,105000.0,5700,2018
Thunder 500,105000.0,5400,2015
 Xpulse 200,100000.0,8500,2019
 CBR-250R,100000.0,19000,2014
 Gixxer SF F,100000.0,7000,2019
 Intruder 150 F,100000.0,14500,2018
Classic Desert Storm,100000.0,15000,2012
Classic 500,100000.0,18000,2013
 Xpulse 200,98000.0,8500,2019
Classic 500,95000.0,11500,2014
 Avenger Street 220,95000.0,23000,2018
 FZ25,90000.0,8200,2018
Classic 500,90000.0,40000,2011
 Avenger 220,90000.0,1300,2019
 Xpulse 200,90000.0,8600,2019
 Xtreme 200R,87000.0,3200,2019
 Xtreme 200R,86000.0,12000,2018
 YZF R15 S,85000.0,13000,2017
 YZF R15 S,85000.0,26000,2016
 Pulsar 180,85000.0,35000,2016
 Avenger Street 150 ,80000.0,30000,2017
 CB Hornet 160R,80000.0,3000,2019
 FZ S V 2.0,80000.0,10000,2019
 Avenger Street 220,80000.0,7200,2016
 YZF R15 ,80000.0,27000,2017
 Avenger Street 220,80000.0,21178,2018
 CB Hornet 160R,80000.0,18000,2017
 CB Hornet 160R,78500.0,17000,2018
 FZ S V 2.0,78000.0,5000,2019
 FZ S V 2.0,78000.0,26100,2017
 CBR150 R,77000.0,38000,2014
 Avenger Street 150 ,75000.0,35000,2016
 CB Unicorn 160,75000.0,40000,2016
 Avenger Street 220,75000.0,12000,2018
 Avenger 220,75000.0,3500,2019
